machine_block_name,Description,brine_pump.conservative,brine_pump.midpoint,brine_pump.optimistic,evaporation_pond.conservative,evaporation_pond.midpoint,evaporation_pond.optimistic,blasting_generic.conservative,blasting_generic.midpoint,blasting_generic.optimistic,excavation_loading_generic.conservative,excavation_loading_generic.midpoint,excavation_loading_generic.optimistic,crushing_cycle.conservative,crushing_cycle.midpoint,crushing_cycle.optimistic,attrition_scrubber,classifier_generic.conservative,classifier_generic.midpoint,classifier_generic.optimistic,high_energy_grinding_mill,sulfuric_acid_roaster,sulfate_roasting_train_lepidolite,calciner_generic,acid_leach_circuit.conservative,acid_leach_circuit.midpoint,acid_leach_circuit.optimistic,water_leach,chlor-alkali_leach_circuit,cstr_generic,solid_liquid_separation,thickener_generic,multi_stage_ccd_thickening,presser,two_stage_neutralizing_circuit,staged_neutralization,liming_system,sx_generic,ix_generic,dle_adsorption,strip_elution_circuit,precipitator.conservative,precipitator.midpoint,precipitator.optimistic,batch_treatment_generic,wash_purify_combo,boron_removal,ion_exchange_polishing,recrystallization,drying_packaging_generic,drying_packaging_propane,tailings_management_generic,reinjection
batch_cycle_time,,1,1,1,1,1,1,-,-,-,0.025,0.01666666667,0.01333333333,-,-,-,-,-,-,-,-,,-,,-,-,-,-,,,,-,-,1,-,-,-,,,,,,,,6,1,,,,,,,
batch_cycle_time_unit,,hour,hour,hour,unit,unit,unit,unit,unit,unit,hour,hour,hour,unit,unit,unit,unit,unit,unit,unit,unit,,unit,,unit,unit,unit,unit,,,,unit,unit,h,unit,unit,unit,,,,,,,,hr,h,,,,,,,
batch_setup_time,,0,0,0,0,0,0,-,-,-,0,0,0,-,-,-,-,-,-,-,-,,-,,-,-,-,-,,,,-,-,0.2,-,-,-,,,,,,,,1,0.2,,,,,,,
batch_setup_time_unit,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,hour,hour,hour,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,,n/a,n/a,n/a,n/a,,,,n/a,n/a,h,n/a,n/a,n/a,,,,,,,,hr,h,,,,,,,
dedicated_line,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,
electricity_base_total,"Reference electricity use, for base volume",117,108,90,0,0,0,0,0,0,0,0,0,1950,1680,1470,150,80,52,34,600,,450,,655,455,305,120,,450,20,50,80,50,80,120,150,200,,,,75,50,25,10,120,150,,,210,210,,
electricity_base_total_unit,,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,,kWh/h,,kWh/h,kWh/h,kWh/h,kWh/h,,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,,,,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,,,kWh/h,,,
natural_gas_base_total,Reference gas consumption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,40,,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,1.24,0.0,,
natural_gas_base_total_unit,,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,,MMBTU/h,,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,,,,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,,,MMBTU/h,,,
diesel_base_total,Reference diesel usage,0,0,0,0,0,0,30,20,10,120,85,60,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,0,0,,
diesel_base_total_unit,,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h
propane_base_total,Reference propane usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,0,43.1,,
propane_base_total_unit,,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h
cooling_water_base_total,Reference cooling water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0.05,0,0,0,0,,,,0,0,0,0,0.2,0,,,0.1,,,
cooling_water_base_total_unit,,m³/h,m³/h,m³/h,m³/h,m³/h,m³/h,m³/h,m³/h,m³/h,m³/h,m³/h,m³/h,m³/h,m³/h,m³/h,m³/h,m³/h,m³/h,m³/h,m³/h,,m³/h,,m³/h,m³/h,m³/h,m³/h,,m3/h,m3/h,m³/h,m³/h,m3/h,m³/h,m³/h,m³/h,m3/h,,,,m3/h,m3/h,m3/h,m3/h,m3/h,m3/h,,,m3/h,,,
steam_base_total,Reference steam use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,8000,8000,8000,2000,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,0,,,
steam_base_total_unit,,kg/h,kg/h,kg/h,kg/h,kg/h,kg/h,kg/h,kg/h,kg/h,kg/h,kg/h,kg/h,kg/h,kg/h,kg/h,kg/h,kg/h,kg/h,kg/h,kg/h,,kg/h,,kg/h,kg/h,kg/h,kg/h,,kg/h,kg/h,kg/h,kg/h,kg/h,kg/h,kg/h,kg/h,kg/h,,,,kg/h,kg/h,kg/h,kg/h,kg/h,kg/h,,,kg/h,,,
compressed_air_base_total,Reference compressed air,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200,,0,0,0,30,,2,0,0,0,2,0,0,0,1,,,,2,2,2,0,1,1,,,0.5,0.5,,
compressed_air_base_total_unit,,Nm³/h,Nm³/h,Nm³/h,Nm³/h,Nm³/h,Nm³/h,Nm³/h,Nm³/h,Nm³/h,Nm³/h,Nm³/h,Nm³/h,Nm³/h,Nm³/h,Nm³/h,Nm³/h,Nm³/h,Nm³/h,Nm³/h,Nm3/h,,Nm³/h,,Nm³/h,Nm³/h,Nm³/h,Nm³/h,,Nm3/h,Nm3/h,Nm³/h,Nm³/h,Nm3/h,Nm³/h,Nm³/h,Nm³/h,Nm3/h,,,,Nm3/h,Nm3/h,Nm3/h,Nm3/h,Nm3/h,Nm3/h,,,Nm3/h,Nm3/h,,
prim_equip_price_base,Reference equipment capex,1200000,1100000,800000,30,18,12,"$7,800,000","$6,300,000","$5,500,000","$8,100,000","$7,500,000","$7,200,000","38,700,000","24,400,000","14,500,000","5,000,000","5,700,000","34,000,000","2,300,000","2,500,000.00",,"30,000,000",,"37,700,000","20,300,000","10,000,000","2,500,000",,"3,088.80",3000000,"4,000,000","8,000,000","1,000,000","8,000,000","10,000,000","1,350,000",600000,,,,"900,000","650,000","480,000",1500000,"600,000",200000,,,"1,034,663","1,034,663",,
prim_equip_price_base_unit,,2025USD,2025USD,2025USD,2025USD,2025USD,2025USD,2025USD,2025USD,2025USD,2025USD,2025USD,2025USD,2025USD,2025USD,2025USD,2025USD,2025USD,2025USD,2025USD,2025USD,,2025USD,,2025USD,2025USD,2025USD,2025USD,,2025USD,2025USD,2025USD,2025USD,2025USD,2025USD,2025USD,2025USD,2025USD,,,,2025USD,2025USD,2025USD,2025USD,2025USD,2025USD,,,2025USD,2025USD,,
prim_equip_scaling_exponent,"Capex scaling exponent (usually based off of the sixth-tenths rule, or similar)",,,,1,1,1,1,1,1,1,1,1,0.65,0.65,0.65,0.6,0.6,0.6,0.6,0.65,,0.6,,0.6,0.6,0.6,0.6,,0.71,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.7,,,,0.7,0.7,0.7,0.6,0.7,0.7,,,0.6,0.6,,
prim_equip_life,Expected equipment life,20,20,20,1,1,1,15,15,15,20,20,20,15,15,15,15,15,15,15,20,,20,,15,15,15,15,,20,20,15,15,20,15,15,15,15,,,,20,20,20,20,20,15,,,20,20,,
prim_equip_life_unit,,years,years,years,n/a,n/a,n/a,years,years,years,years,years,years,years,years,years,years,years,years,years,years,,n/a,,years,years,years,years,,years,years,n/a,years,years,years,years,years,years,,,,years,years,years,years,years,years,,,years,years,,
tooling_cost_base,Reference tooling cost,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,,0,0,0,,0,0,0,,,,,,,,0,,,,,,,,
tooling_cost_base_unit,,n/a,n/a,n/a,0,0,0,,,,# Tires/year,# Tires/year,# Tires/year,-,-,-,-,-,-,-,-,,-,,-,-,-,-,,,2025USD,-,-,,-,-,-,,,,,,,,2025USD,,,,,,,,
tooling_scaling_exponent,Scale exponent,1,1,1,1,1,1,,,,1,1,1,-,-,-,-,-,-,-,-,,-,,-,-,-,-,,,0.6,-,-,,-,-,-,,,,,,,,0.6,,,,,,,,
footprint_base,Plot area incl. access,5,5,5,0,0,0,0,0,0,0,0,0,500,500,500,300,50,50,50,150,,1000,,800,800,800,350,,120,6,400,500,80,500,500,500,250,,,,150,150,150,300,100,60,,,400,400,,
footprint_base_unit,,m²,m²,m²,m²,m²,m²,m²,m²,m²,m²,m²,m²,m²,m²,m²,m²,m²,m²,m²,m²,,m²,,m²,m²,m²,m²,,m2,m2,m²,m²,m2,m²,m²,m²,m2,,,,m2,m2,m2,m2,m2,m2,,,m2,m2,,
footprint_scaling_exponent,Scale exponent,1,1,1,1,1,1,1,1,1,1,1,1,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6,,0.7,,0.7,0.7,0.7,0.6,,0.7,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,,,,0.7,0.7,0.7,0.6,0.7,0.7,,,0.7,0.7,,
dedicated_labor,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,FALSE,FALSE,,
labor_base,Reference labor requirement,0.5,0.5,0.5,0.00000002727910959,0.00000002727910959,0.00000002727910959,4,4,4,6,6,6,1,1,1,1,1,1,1,0.5,,6,,1,1,1,0.75,,0.5,0.5,1,1,0.3,1,1,1,0.6,,,,0.4,0.4,0.4,0.5,1,0.3,,,1,1,,
labor_base_unit,,FTE,FTE,FTE,FTE,FTE,FTE,FTE,FTE,FTE,FTE,FTE,FTE,FTE,FTE,FTE,FTE,FTE,FTE,FTE,FTE,,FTE,,FTE,FTE,FTE,FTE,,FTE,FTE,FTE,FTE,FTE,FTE,FTE,FTE,FTE,,,,FTE,FTE,FTE,FTE,FTE,FTE,,,FTE,FTE,,
labor_scaling_exponent,Labor efficiency with scale (AusIMM),0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,0.5,,0.5,0.5,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,0.85,0.85,0.85,0.3,0.85,0.85,,,0.85,0.85,,
opex_fraction_of_capex,"Additional operating costs (e.g. maintenace), as function of capex",0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,0.05,,0.06,0.06,0.06,0.06,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,,,0.05,0.05,0.05,0.05,0.05,0.05,,,0.05,0.05,,
unplanned_downtime,Fraction of entire facility uptime,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,0.03,,0.03,0.03,0.03,0.03,,0.1,0.05,0.03,0.03,0.1,0.03,0.03,0.03,0.1,,,,0.1,0.1,0.1,0.05,0.1,0.1,,,0.1,0.1,,
proc_avail_factor,Uptime excluding planned outages,0.9,0.9,0.9,1,1,1,0.9,0.9,0.9,0.9,0.9,0.9,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,0.92,,0.92,0.92,0.92,0.92,,0.9,0.95,0.92,0.92,0.9,0.92,0.92,0.92,0.9,,,,0.9,0.9,0.9,0.95,0.9,0.9,,,0.9,0.9,,
scheduled_maintenance,"Scheduled maintenance, fraction of entire facility uptime",0.05,0.05,0.05,0,0,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,0.05,,0.05,0.05,0.05,0.05,,0.05,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,,,0.05,0.05,0.05,0.1,0.05,0.05,,,0.05,0.05,,
