Intermediate Concentration,,Li: 0; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,Li: 0; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,Li: 0; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,Li: 0; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,Li: 0; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,Li: 82100; K: 8000; Mg: 10000; Ca: 1000; Na: 20000; B: 5000; SO4: 5000; Si: 0; Rb: 50; F: 0; Cs:0,Li: 72250; K: 8000; Mg: 10000; Ca: 1000; Na: 20000; B: 5000; SO4: 5000; Si: 0; Rb: 50; F: 0; Cs:0,Li: 0; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,Li: 6480; K: 57600; Mg: 70; Ca: 40; Na: 93600; B: 2000; SO4: 34800; Si: 0; Rb: 0; F: 0; Cs:0,,,,,,,,,,,,,,,Li: 0; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,Li: 0; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,Li: 4563; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,Li: 0; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,Li: 0; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,Li: 0; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,Li: 0; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,Li: 0; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,Li: 0; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,,Li: 21630; K: 69305; Mg: 0; Ca: 0; Na: 8384; B: 0; SO4: 0; Si: 258800; Rb: 10785; F: 11100; Cs: 1886
Concentration Units,,mg particle/L,mg particle/L,mg particle/L,mg particle/L,mg particle/L,mg particle/L,mg particle/L,mg particle/L,mg particle/L,,,,,,,,,,,,,,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm (wt%)
Intermediate Density,,,,,,,,1.25,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,
Material Density Unit,,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3,g/cm3
Pond Recovery Efficiency,,0.660,0.700,0.766,0.700,0.620,0.650,0.560,0.510,0.444,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Strip Ratio,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.31,6.07,7.88,3.85,3.32,7.35,3.73,11.57,3.89,0.93,7.02,1.51,,5.24,0.21,,2.85,0.45,,5
Dilution,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1,0.1,0.17,0.1,0.1,0.1,0.16,0.1,0.15,0.05,0.09,0.15,0.15,0.15,0.15,,0.05,0.05,,0.15
Loss,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.05,0.05,0.07,0.05,0.05,0.05,0.03,0.05,0.03,0.03,0.06,0.06,0.25,0.06,0.06,0.32,0.03,0.03,,0.05
Swell Factor,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.25,1.25,1,1.15,1.15,1.15,,1.15,1.25,,1.3
Powder Factor,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,-,-,-,-,-,0.2,0.2,,0.25
Pathway 1,,Brine-Evaporation,Brine-Evaporation,Brine-Evaporation,Brine-Evaporation,Brine-Evaporation,Brine-Evaporation,Brine-Evaporation,Brine-Evaporation,Brine-Evaporation,Brine-DLE-Selective Sorption-Carbonation,Brine-DLE-Selective Sorption-Electrolysis,Brine-DLE-Selective Sorption-Ion Exchange,Brine-DLE-Selective Sorption-Ion Exchange,Brine-DLE-Selective Sorption-Ion Exchange,Blast Mining,Blast Mining,Blast Mining,Blast Mining,Blast Mining,Blast Mining,Blast Mining,Blast Mining,Blast Mining,Blast Mining,Blast Mining,Non-Blast Excavating,Non-Blast Excavating,Non-Blast Excavating,Non-Blast Excavating,Borehole Mining & Excavation,Blast Mining,Blast Mining,Blast Mining,Blast Mining
Location 1,,Argentina,Argentina,Argentina,Argentina,Argentina,Chile_Atacama,Chile_Atacama,Argentina,United States_Nevada,United States,United States,Canada,United States,Argentina,Canada,Canada,Australia,Canada,Australia,Canada,Canada,United States,Canada,Peru,United States_Nevada,United States_Nevada,United States_Nevada,United States_Nevada,United States_Nevada,United States_Nevada,Mexico,United States_Nevada,China_Jiangxi,China_Jiangxi
Transport 1,,,,,,,liquid_tanker_truck_diesel: ; rail: ,liquid_tanker_truck_diesel: 500,,,,,,,,haul_truck: ,haul_truck: ,haul_truck: ,haul_truck: ,haul_truck: ,haul_truck: ,haul_truck: ,haul_truck: ,haul_truck: ,haul_truck: ,haul_truck: ,haul_truck: 2,haul_truck: 2,haul_truck: 2,haul_truck: ,haul_truck: ,haul_truck: ,haul_truck: ,haul_truck: ,dry_bulk_truck: 10
Pathway 2,,,,,,,Brine-Solvent Extraction-Boron,Brine-Solvent Extraction-Boron,,Brine-Batch Chemical Purification,,,,,,Crushing & Beneficiation via DMS,Crushing & Beneficiation via Flotation,Crushing & Beneficiation via DMS,Crushing & Beneficiation via DMS,Crushing & Beneficiation via Flotation,Crushing & Beneficiation via Flotation,Crushing & Beneficiation via DMS,Crushing & Beneficiation via DMS,Crushing & Beneficiation via DMS,Sulfate Roast + Water Leach,Sulfate Roast + Water Leach,Sulfuric Acid Leach,Sulfuric Acid Leach,Sulfuric Acid Leach,Chlor-Alkali Leach + DLE,Salt Roast + Water Leach,Salt Roast + Water Leach,Salt Roast + Water Leach,Sulfate Roast-Water Leach,Sulfate Roast-Water Leach
Location 2,,Argentina,Argentina,Argentina,Argentina,Argentina,Chile_Plant,Chile_Plant,Argentina,United States_Nevada,United States,United States,Canada,United States,Argentina,Canada,Canada,Australia,Canada,Australia,Canada,Canada,United States,Canada,Peru,United States_Nevada,United States_Nevada,United States_Nevada,United States_Nevada,United States_Nevada,United States_Nevada,Mexico,United States_Nevada,China_Jiangxi,China_Jiangxi
Transport 2,,,,,,,,,,,,,,,,,,barge: CONSIDER KWINANA PLANT,barge:,barge:,,,,,,,,,,,,,,,
Pathway 3,,,,,,,Solution Processing-Chloride,Solution Processing-Chloride,,Solution Processing-Chloride,,,,,,Sulfate Roast?,Sulfate Roast?,Sulfate Roast?,Sulfate Roast?,Sulfate Roast?,Sulfate Roast?,Sulfate Roast?,Sulfate Roast?,Sulfate Roast?,Solution Processing-Sulfate,Solution Processing-Sulfate,Solution Processing-Sulfate,Solution Processing-Sulfate,Solution Processing-Sulfate,Solution Processing-Sulfate,Solution Processing-Sulfate,Solution Processing-Sulfate,Solution Processing-Sulfate,Solution Processing-Sulfate,Solution Processing-Sulfate
Location 3,,,,,,,Chile_Plant,Chile_Plant,,United States_Nevada,,,,,,Canada,Canada,China,Canada,China,Canada,Canada,United States,Canada,Peru,United States_Nevada,United States_Nevada,United States_Nevada,United States_Nevada,United States_Nevada,United States_Nevada,Mexico,United States_Nevada,China_Jiangxi,China_Jiangxi
Transport 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pathway 4,,,,,,,,,,,,,,,,Solution Processing-Sulfate,Solution Processing-Sulfate,Solution Processing-Sulfate,Solution Processing-Sulfate,Solution Processing-Sulfate,Solution Processing-Sulfate,Solution Processing-Sulfate,Solution Processing-Sulfate,Solution Processing-Sulfate,,,,,,,,,,,
Location 4,,,,,,,,,,,,,,,,Canada,Canada,China,Canada,China,Canada,Canada,United States,Canada,,,,,,,,,,,
Reported Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Workforce (NAATBatt),,,,,,,,,,75,,,,,,,132,,250,,500,,,70,,,65,,,183,,,,,
Workforce (Disclosure),,,383,,,,,,,62,89,85,,,,,,,,,,,,,,290,626,,,,,,,,
Propane,gallons per t Li2CO3 produced,,,,,,,,,150,,,,,,,,,,,,,,,,,6,,,,,,,,
Electricity,Mmw/h total (?),,,,,,,,,13.3,,,,,,,,,,,,,,,,35,422,10.853,1.45,323.37,,,,,
Fresh water,m3 per t Li2CO3 produced,,NR,,,,,,,130,,,,,,,,,,,,,,,,,Not reported,,,,,,,,
Soda ash,tons per t Li2CO3 produced,,2.45,,,,,,2.66,2.5,2.13,2.239,,,,,,,,,,,,,,,3.11,,,,,,,,
Quicklime (CaO),tons per t Li2CO3 produced,,2.6,,,,,,,1.3,,,,,,,,,,,,,,,,,2.63,,,,,,,,
Slaked Lime (Ca(OH)2),tons per t Li2CO3 produced,,NR,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,
Process water,m3 per t Li2CO3 produced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caustic Soda/Lye,,,,,,,,,1.51,,2.11,0.6876,,,,,,,,,,,,,,used here,,,,,,,,,
Raw water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,,,,,
Natural gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulfuric acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrochloric acid,,,,,,,,,,,1.15,1.803,,,,,,,,,,,,,,,,,,,,,,,
Flocculant,,,,,,,,,,,,Not yet confirmed,,,,,,,,,,,,,,,,,,,,,,,
Other?,,,5.25,,,,,,4.65,,,0.0676,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0969,,,,,,,,,,,,,,,,,,,,,,,
